Job Title,Company Name,Location,Skills Required,Job Type,Category,Salary Estimate
Data Scientist,DataX,Delhi,Python, Machine Learning, Full-time, IT, 80000
Product Manager,InnoTech,Bangalore,Product Management, Full-time, Management, 120000
Software Engineer,TechCorp,Mumbai,Java, Spring, Full-time, IT, 90000
UX Designer,CreateTech,Mumbai,UX/UI Design, Full-time, Design, 75000
AI Researcher,InnovateAI,Bangalore,Deep Learning, Full-time, IT, 100000
Data Analyst,DataX,Delhi,SQL, Power BI, Full-time, IT, 70000
Marketing Manager,AdWorld,Delhi,Digital Marketing, Full-time, Marketing, 85000
HR Manager,PeopleFirst,Mumbai,Recruitment, HR Strategies, Full-time, HR, 95000
Product Designer,InnoTech,Bangalore,UI/UX Design, Full-time, Design, 80000
Business Analyst,SmartTech,Mumbai,Data Analysis, Reporting, Full-time, Business, 90000
Web Developer,CodeForge,Delhi,HTML, CSS, JavaScript, Full-time, IT, 75000
Machine Learning Engineer,TechVerse,Bangalore,Python, Machine Learning, Full-time, IT, 110000
Marketing Specialist,BrandUp,Delhi,Content Marketing, SEO, Full-time, Marketing, 65000
Cybersecurity Expert,SecureNet,Mumbai,Network Security, Cryptography, Full-time, IT, 105000
Full Stack Developer,WebWorks,Delhi,React, Node.js, Full-time, IT, 95000
Data Engineer,CloudTech,Bangalore,SQL, Python, AWS, Full-time, IT, 98000
Sales Manager,MarketGurus,Mumbai,Sales Strategy, CRM, Full-time, Sales, 85000
Cloud Architect,Cloudify,Delhi,Cloud Computing, AWS, Full-time, IT, 130000
Backend Developer,CodeX,Mumbai,Java, Spring Boot, Full-time, IT, 90000
System Administrator,NetGuard,Bangalore,Linux, Networking, Full-time, IT, 80000
